date,course_id,numero,score_modele,score_geneal,rang_modele,somme_top3_proba,seuil_vert_utilise,niveau_vert,top5,position_arrivee,est_gagnant,cible_place,categorie_particularite
2026-08-30,2026-08-30_BADEN-BADEN_R2C4,2,0.3183425219069505,0.3183425219069505,2.0,0.40451,0.5848,NON_VERT,True,2.0,0,1,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_BADEN-BADEN_R2C4,3,0.45270657772540296,0.45270657772540296,1.0,0.40451,0.5848,NON_VERT,True,7.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_BADEN-BADEN_R2C4,4,-0.0637374387211377,-0.0637374387211377,5.0,0.40451,0.5848,NON_VERT,True,4.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_BADEN-BADEN_R2C4,5,-0.32062911622416707,-0.32062911622416707,7.0,0.40451,0.5848,NON_VERT,False,3.0,0,1,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_BADEN-BADEN_R2C4,6,0.10419890676665752,0.10419890676665752,4.0,0.40451,0.5848,NON_VERT,True,10.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_BADEN-BADEN_R2C4,7,-0.47270263281553937,-0.47270263281553937,8.0,0.40451,0.5848,NON_VERT,False,6.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_BADEN-BADEN_R2C4,8,0.13299399986642116,0.13299399986642116,3.0,0.40451,0.5848,NON_VERT,True,1.0,1,1,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_BADEN-BADEN_R2C4,9,-0.9326697416990435,-0.9326697416990435,11.0,0.40451,0.5848,NON_VERT,False,5.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_BADEN-BADEN_R2C4,10,-1.2268721014220287,-1.2268721014220287,12.0,0.40451,0.5848,NON_VERT,False,11.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_BADEN-BADEN_R2C4,11,-0.10275297881567669,-0.10275297881567669,6.0,0.40451,0.5848,NON_VERT,False,9.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_BADEN-BADEN_R2C4,12,-0.7567866267035176,-0.7567866267035176,10.0,0.40451,0.5848,NON_VERT,False,12.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_BADEN-BADEN_R2C5,1,0.11456148224923013,0.11456148224923013,3.0,0.456159,0.5848,NON_VERT,True,8.0,0,0,HANDICAP
2026-08-30,2026-08-30_BADEN-BADEN_R2C5,2,-0.09700602423283691,-0.09700602423283691,5.0,0.456159,0.5848,NON_VERT,True,6.0,0,0,HANDICAP
2026-08-30,2026-08-30_BADEN-BADEN_R2C5,3,-0.03645183231237231,-0.03645183231237231,4.0,0.456159,0.5848,NON_VERT,True,9.0,0,0,HANDICAP
2026-08-30,2026-08-30_BADEN-BADEN_R2C5,5,0.12665609588294777,0.12665609588294777,2.0,0.456159,0.5848,NON_VERT,True,3.0,0,1,HANDICAP
2026-08-30,2026-08-30_BADEN-BADEN_R2C5,6,-0.3660450273666882,-0.3660450273666882,8.0,0.456159,0.5848,NON_VERT,False,7.0,0,0,HANDICAP
2026-08-30,2026-08-30_BADEN-BADEN_R2C5,7,-0.12955109007574972,-0.12955109007574972,6.0,0.456159,0.5848,NON_VERT,False,5.0,0,0,HANDICAP
2026-08-30,2026-08-30_BADEN-BADEN_R2C5,8,-0.30932381235968737,-0.30932381235968737,7.0,0.456159,0.5848,NON_VERT,False,4.0,0,0,HANDICAP
2026-08-30,2026-08-30_BADEN-BADEN_R2C5,9,0.6038073643160423,0.6038073643160423,1.0,0.456159,0.5848,NON_VERT,True,1.0,1,1,HANDICAP
2026-08-30,2026-08-30_BADEN-BADEN_R2C5,10,-0.36653718991165246,-0.36653718991165246,9.0,0.456159,0.5848,NON_VERT,False,2.0,0,1,HANDICAP
2026-08-30,2026-08-30_DEAUVILLE_R1C1,1,-2.0290315672950734,-2.0290315672950734,11.0,0.495582,0.5848,NON_VERT,False,12.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_DEAUVILLE_R1C1,2,-0.3421581574718481,-0.3421581574718481,6.0,0.495582,0.5848,NON_VERT,False,8.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_DEAUVILLE_R1C1,3,-1.6721255320031911,-1.6721255320031911,10.0,0.495582,0.5848,NON_VERT,False,3.0,0,1,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_DEAUVILLE_R1C1,4,0.7648607241033399,0.7648607241033399,1.0,0.495582,0.5848,NON_VERT,True,4.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_DEAUVILLE_R1C1,5,-2.367858291832665,-2.367858291832665,12.0,0.495582,0.5848,NON_VERT,False,11.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_DEAUVILLE_R1C1,6,0.18009324885742206,0.18009324885742206,5.0,0.495582,0.5848,NON_VERT,True,6.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_DEAUVILLE_R1C1,7,0.23091551094534318,0.23091551094534318,4.0,0.495582,0.5848,NON_VERT,True,5.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_DEAUVILLE_R1C1,8,0.29637880152199586,0.29637880152199586,3.0,0.495582,0.5848,NON_VERT,True,2.0,0,1,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_DEAUVILLE_R1C1,9,-0.5919840343811843,-0.5919840343811843,8.0,0.495582,0.5848,NON_VERT,False,9.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_DEAUVILLE_R1C1,10,-1.23138485609969,-1.23138485609969,9.0,0.495582,0.5848,NON_VERT,False,10.0,0,0,COURSE_A_CONDITIONS
2026-08-30,2026-08-30_DEAUVILLE_R1C1,11,0.3691745814211356,0.3691745814211356,2.0,0.495582,0.5848,NON_VERT,True,1.0,1,1,COURSE_A_CONDITIONS
